country,iso3,who_region,year,physicians_per_10k,nurses_per_10k,hospital_beds_per_10k,life_expectancy,ncd_mortality_pct,uhc_service_coverage
Japan,JPN,Western Pacific,2020,32.5,126.3,115.3,80.5,9.8,88.8
Japan,JPN,Western Pacific,2021,32.5,88.1,123.2,82.6,10.6,90.6
Japan,JPN,Western Pacific,2022,42.9,91.5,35.2,82.1,10.3,87.2
Australia,AUS,Western Pacific,2018,40.4,113.7,128.3,80.4,10.6,84.1
Australia,AUS,Western Pacific,2019,42.9,92.9,45.0,81.9,10.6,83.7
Australia,AUS,Western Pacific,2020,32.8,127.2,71.5,83.6,11.0,81.4
Australia,AUS,Western Pacific,2021,45.9,123.3,126.7,84.0,12.1,83.2
Australia,AUS,Western Pacific,2022,37.5,92.7,67.1,80.6,10.1,93.4
Norway,NOR,Europe,2018,32.5,119.2,72.8,81.7,12.8,91.9
Norway,NOR,Europe,2019,37.7,116.4,41.3,81.3,12.8,87.4
Norway,NOR,Europe,2020,37.8,118.4,31.0,82.5,10.8,91.0
Norway,NOR,Europe,2021,31.6,129.5,33.4,81.0,11.1,89.3
Norway,NOR,Europe,2022,33.2,88.0,118.5,81.4,11.0,89.0
Switzerland,CHE,Europe,2018,35.1,109.2,79.9,83.7,9.8,88.6
Switzerland,CHE,Europe,2019,32.4,100.3,95.5,81.3,10.2,89.4
Switzerland,CHE,Europe,2020,29.8,103.9,129.8,84.2,9.1,83.4
Switzerland,CHE,Europe,2021,33.4,128.2,117.5,83.8,10.2,83.1
Switzerland,CHE,Europe,2022,43.4,117.2,89.2,84.3,11.2,81.7
Saudi Arabia,SAU,Eastern Mediterranean,2018,32.6,55.5,20.6,78.8,15.1,69.6
Saudi Arabia,SAU,Eastern Mediterranean,2019,23.7,64.9,15.5,77.5,19.6,71.3
Saudi Arabia,SAU,Eastern Mediterranean,2020,30.8,55.2,18.4,78.8,20.6,70.1
Saudi Arabia,SAU,Eastern Mediterranean,2021,28.4,56.2,12.0,78.4,18.8,72.9
Saudi Arabia,SAU,Eastern Mediterranean,2022,32.8,66.3,17.6,75.4,14.2,82.0
United Arab Emirates,ARE,Eastern Mediterranean,2018,33.8,64.1,22.8,77.3,15.2,69.8
United Arab Emirates,ARE,Eastern Mediterranean,2019,26.3,77.0,22.3,78.5,21.1,71.3
United Arab Emirates,ARE,Eastern Mediterranean,2020,25.8,49.6,22.1,78.7,17.1,77.5
United Arab Emirates,ARE,Eastern Mediterranean,2021,24.9,79.0,23.2,79.2,20.2,81.5
United Arab Emirates,ARE,Eastern Mediterranean,2022,23.5,72.8,16.3,79.1,20.0,81.7
Qatar,QAT,Eastern Mediterranean,2018,32.5,54.3,22.2,75.4,21.0,80.0
Qatar,QAT,Eastern Mediterranean,2019,25.2,74.1,18.0,76.3,20.3,71.6
Qatar,QAT,Eastern Mediterranean,2020,22.9,52.8,16.3,78.7,21.5,72.7
Qatar,QAT,Eastern Mediterranean,2021,31.2,60.5,24.8,77.4,21.2,70.8
Qatar,QAT,Eastern Mediterranean,2022,35.8,53.2,24.5,76.5,14.5,75.7
Kuwait,KWT,Eastern Mediterranean,2018,31.5,56.0,19.9,77.0,17.1,76.1
Kuwait,KWT,Eastern Mediterranean,2019,25.6,70.3,12.0,78.8,18.2,78.5
Kuwait,KWT,Eastern Mediterranean,2020,32.2,69.5,16.7,75.5,19.1,73.4
Kuwait,KWT,Eastern Mediterranean,2021,27.0,76.2,21.4,76.5,16.2,74.9
Kuwait,KWT,Eastern Mediterranean,2022,28.4,57.3,13.7,77.1,21.1,79.1
Bahrain,BHR,Eastern Mediterranean,2018,33.7,66.5,15.9,77.2,14.0,72.0
Bahrain,BHR,Eastern Mediterranean,2019,27.9,65.8,20.5,77.0,17.4,71.4
Bahrain,BHR,Eastern Mediterranean,2020,28.8,77.5,22.3,75.9,14.5,76.0
Bahrain,BHR,Eastern Mediterranean,2021,31.1,58.2,22.6,78.3,19.1,72.3
Bahrain,BHR,Eastern Mediterranean,2022,25.8,47.9,15.2,77.3,20.4,70.6
Oman,OMN,Eastern Mediterranean,2018,27.4,67.0,14.5,77.8,18.0,71.4
Oman,OMN,Eastern Mediterranean,2019,30.8,45.7,21.8,78.2,14.8,74.4
Oman,OMN,Eastern Mediterranean,2020,24.9,79.5,18.7,75.4,15.8,80.7
Oman,OMN,Eastern Mediterranean,2021,28.8,74.5,20.7,79.3,18.5,82.5
Oman,OMN,Eastern Mediterranean,2022,34.8,68.4,21.4,77.4,20.2,77.3
Brazil,BRA,Americas,2018,26.7,38.6,18.5,73.6,17.5,67.8
Brazil,BRA,Americas,2019,25.3,33.5,21.3,73.7,16.4,61.1
Brazil,BRA,Americas,2020,19.1,29.0,19.7,73.0,17.2,69.7
Brazil,BRA,Americas,2021,25.1,23.1,17.3,75.6,18.2,60.3
Brazil,BRA,Americas,2022,21.7,44.6,20.5,76.6,20.7,71.9
Mexico,MEX,Americas,2018,19.9,20.1,16.3,76.5,21.1,74.1
Mexico,MEX,Americas,2019,20.7,39.2,19.8,75.7,17.2,59.8
Mexico,MEX,Americas,2020,21.3,21.7,16.1,76.3,18.2,59.1
Mexico,MEX,Americas,2021,22.0,24.7,21.2,72.5,18.1,67.5
Mexico,MEX,Americas,2022,16.6,38.1,12.4,75.2,15.9,64.2
Turkey,TUR,Europe,2018,17.8,28.2,23.7,74.3,20.5,71.6
Turkey,TUR,Europe,2019,18.6,22.5,10.3,75.3,21.9,62.4
Turkey,TUR,Europe,2020,24.1,40.5,21.7,76.7,21.5,59.8
Turkey,TUR,Europe,2021,16.2,25.3,12.3,76.3,19.1,60.6
Turkey,TUR,Europe,2022,25.3,41.2,13.0,76.0,20.1,58.9
Thailand,THA,South-East Asia,2018,25.7,44.1,11.9,72.2,17.9,68.5
Thailand,THA,South-East Asia,2019,27.8,30.4,22.9,72.6,20.0,67.9
Thailand,THA,South-East Asia,2020,16.9,40.3,25.3,75.8,16.5,75.5
Thailand,THA,South-East Asia,2021,26.1,30.2,17.7,74.5,18.7,63.0
Thailand,THA,South-East Asia,2022,27.2,42.6,11.9,78.2,19.4,73.2
Malaysia,MYS,Western Pacific,2018,24.2,30.9,23.2,77.8,17.6,71.2
Malaysia,MYS,Western Pacific,2019,22.3,32.6,17.8,76.5,17.5,72.4
Malaysia,MYS,Western Pacific,2020,26.4,23.2,25.9,73.7,18.6,68.0
Malaysia,MYS,Western Pacific,2021,20.8,22.2,25.3,73.4,17.0,72.2
Malaysia,MYS,Western Pacific,2022,20.6,44.0,22.6,74.1,15.7,75.6
South Africa,ZAF,Africa,2018,16.1,38.0,18.8,76.5,20.1,67.9
South Africa,ZAF,Africa,2019,21.7,40.3,11.7,73.4,20.1,61.5
South Africa,ZAF,Africa,2020,23.2,32.8,19.6,74.8,20.3,62.4
South Africa,ZAF,Africa,2021,25.0,28.3,14.5,73.0,16.9,58.6
South Africa,ZAF,Africa,2022,23.2,41.1,13.3,73.7,18.5,71.1
Egypt,EGY,Eastern Mediterranean,2018,27.7,33.1,15.1,72.6,17.2,59.5
Egypt,EGY,Eastern Mediterranean,2019,17.6,20.9,19.6,73.7,21.7,66.5
Egypt,EGY,Eastern Mediterranean,2020,24.7,24.2,25.6,75.1,21.0,67.3
Egypt,EGY,Eastern Mediterranean,2021,22.0,32.5,13.3,72.6,21.3,65.8
Egypt,EGY,Eastern Mediterranean,2022,26.9,32.0,11.3,76.2,15.9,59.6
Ethiopia,ETH,Africa,2018,4.9,6.6,14.9,60.9,25.6,45.2
Ethiopia,ETH,Africa,2019,6.8,6.2,9.3,63.7,22.3,51.9
Ethiopia,ETH,Africa,2020,8.5,7.7,10.5,65.1,25.2,54.5
Ethiopia,ETH,Africa,2021,3.4,7.0,10.9,61.6,19.4,33.1
Ethiopia,ETH,Africa,2022,2.2,10.4,10.1,62.7,19.9,49.3
Bangladesh,BGD,South-East Asia,2018,5.9,8.4,11.2,67.4,25.9,45.6
Bangladesh,BGD,South-East Asia,2019,5.9,14.7,8.1,64.5,24.4,53.1
Bangladesh,BGD,South-East Asia,2020,7.4,4.9,5.0,62.7,25.3,45.0
Bangladesh,BGD,South-East Asia,2021,3.9,6.0,11.3,65.9,27.1,43.7
Bangladesh,BGD,South-East Asia,2022,5.7,6.0,3.5,63.9,20.8,37.9
Nepal,NPL,South-East Asia,2018,1.6,14.5,13.0,64.6,27.5,55.0
Nepal,NPL,South-East Asia,2019,6.0,6.7,3.5,66.2,22.6,46.7
Nepal,NPL,South-East Asia,2020,8.0,6.2,10.0,65.3,22.7,33.1
Nepal,NPL,South-East Asia,2021,4.3,8.5,11.0,67.2,21.0,48.5
Nepal,NPL,South-East Asia,2022,4.2,16.3,12.8,64.8,22.1,39.5
Tanzania,TZA,Africa,2018,3.3,14.6,7.9,64.1,27.9,46.4
Tanzania,TZA,Africa,2019,5.1,8.5,5.3,63.0,25.5,46.0
Tanzania,TZA,Africa,2020,6.9,6.4,9.6,67.6,22.2,48.3
Tanzania,TZA,Africa,2021,2.7,16.2,10.3,62.2,19.3,45.0
Tanzania,TZA,Africa,2022,6.1,6.1,14.9,67.7,22.2,34.5
Uganda,UGA,Africa,2018,6.8,9.0,11.6,64.1,20.7,50.9
Uganda,UGA,Africa,2019,8.2,6.4,9.6,63.2,27.1,43.1
Uganda,UGA,Africa,2020,7.8,14.4,6.3,66.5,21.9,54.2
Uganda,UGA,Africa,2021,5.5,14.3,6.4,62.7,23.6,56.2
Uganda,UGA,Africa,2022,5.6,6.8,9.5,63.2,23.1,45.2
Rwanda,RWA,Africa,2018,4.2,6.9,5.3,65.6,23.7,35.8
Rwanda,RWA,Africa,2019,6.7,4.0,11.9,65.7,26.0,40.1
Rwanda,RWA,Africa,2020,6.2,13.8,14.8,64.2,18.2,43.4
Rwanda,RWA,Africa,2021,6.0,14.9,13.5,63.8,23.0,42.6
Rwanda,RWA,Africa,2022,7.3,9.9,10.9,61.6,22.3,55.8
Mali,MLI,Africa,2018,3.4,11.3,10.8,66.8,26.5,51.5
Mali,MLI,Africa,2019,4.0,7.3,11.6,66.2,26.6,31.3
Mali,MLI,Africa,2020,2.1,11.6,14.1,68.2,25.3,41.6
Mali,MLI,Africa,2021,2.6,12.1,13.5,63.8,24.6,53.8
Mali,MLI,Africa,2022,2.5,14.6,6.5,63.4,19.1,44.9
Niger,NER,Africa,2018,5.0,12.5,5.0,60.6,26.7,45.5
Niger,NER,Africa,2019,3.0,14.5,4.7,63.8,20.4,36.8
Niger,NER,Africa,2020,1.7,13.7,13.8,65.6,19.4,41.8
Niger,NER,Africa,2021,4.3,11.6,10.7,63.7,20.2,52.3
Niger,NER,Africa,2022,3.6,9.6,8.8,62.3,23.3,46.0
